#,id,name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,,,,,kaggle_id
28,7hDc8b7IXETo14hHIHdnhd ,Passionfruit,Drake,81,0.809,0.463,11,-5.886,1,0.0396,0.256,0.085,0.109,0.364,103.989,298941,4,,,,,7hDc8b7IXETo14hHIHdnh
29,2ekn2ttSfGqwhhate0LSR0 ,New Rules,Dua Lipa,93,0.771,0.696,9,-6.258,0,0.0755,0.00256,9.71E-06,0.179,0.656,116.054,208827,4,,,,,2ekn2ttSfGqwhhate0LSR
30,6PCUP3dWmTjcTtXY02oFdT ,Castle on the Hill,Ed Sheeran,83,0.461,0.834,2,-3.183,1,0.0989,0.0232,1.14E-05,0.14,0.471,95.977,261154,4,,,,,6PCUP3dWmTjcTtXY02oFd
31,0afhq8XCExXpqazXczTSve ,Galway Girl,Ed Sheeran,87,0.624,0.876,9,-4.868,1,0.1,0.0735,0,0.327,0.781,135.007,170827,4,,,,,0afhq8XCExXpqazXczTSv
32,0tgVpDi06FyKpA1z0VMD4v ,Perfect,Ed Sheeran,94,0.599,0.448,8,-3.374,1,0.0232,0.163,0,0.106,0.168,99.943,263400,3,,,,,0tgVpDi06FyKpA1z0VMD4
33,7qiZfU4dY1lWllzX7mPBI3 ,Shape of You,Ed Sheeran,91,0.825,0.652,1,-6.312,0,0.0802,0.581,0,0.0931,0.931,95.05,233713,4,,,,,7qiZfU4dY1lWllzX7mPBI
34,7nKBxz47S9SD79N086fuhn ,SUBEME LA RADIO,Enrique Iglesias,80,0.684,0.823,9,-3.297,0,0.0773,0.0744,0,0.111,0.647,91.048,208163,4,,,,,7nKBxz47S9SD79N086fuh
35,3B54sVLJ402zGa6Xm4YGNe ,Unforgettable,French Montana,89,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,233902,4,,,,,3B54sVLJ402zGa6Xm4YGN
36,0VgkVdmE4gld66l8iyGjgx ,Mask Off,Future,86,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,204600,4,,,,,0VgkVdmE4gld66l8iyGjg
37,2zDt2TfQbxiSPjTVJTgbwz ,Starving,Hailee Steinfeld,79,0.721,0.626,4,-4.2,1,0.123,0.402,0,0.102,0.558,99.914,181933,4,,,,,6875MeXyCW0wLyT72Eetm
38,0Nhu3zSYbEz32IYiobV75e ,Now Or Never,Halsey,74,0.658,0.588,6,-4.902,0,0.0367,0.105,1.28E-06,0.125,0.434,110.075,214802,4,,,,,7i2DJ88J7jQ8K7zqFX2fW
39,5Ohxk2dO5COHF1krpoPigN ,Sign of the Times,Harry Styles,82,0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,340707,4,,,,,5Ohxk2dO5COHF1krpoPig
40,7Izh7zLJGw1Nscd62Exxj4 ,Believer,Imagine Dragons,87,0.779,0.787,10,-4.305,0,0.108,0.0524,0,0.14,0.708,124.982,204347,4,,,,,0CcQNd8CINkwQfe1RDtGV
41,26gceVsA1ybT8qsX3aYLEn ,Thunder,Imagine Dragons,87,0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,187147,4,,,,,0tKcYR2II1VCQWT79i5Nr
42,2rb5MvYT7ZIxbKW5hfcHx8,Mi Gente,J Balvin,82,0.543,0.677,11,-4.915,0,0.0993,0.0148,6.21E-06,0.13,0.294,103.809,189440,4,,,,,2rb5MvYT7ZIxbKW5hfcHx
43,5uCax9HTNlzGybIStD3vDh ,Say You Won't Let Go,James Arthur,86,0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,211467,4,,,,,5uCax9HTNlzGybIStD3vD
44,6kex4EBAj0WHXDKZMEJaaF ,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,85,0.696,0.817,1,-3.862,1,0.109,0.075,0,0.187,0.782,98.064,216409,4,,,,,6kex4EBAj0WHXDKZMEJaa
45,00lNx0OcTJrS3MKHcB80HY ,You Don't Know Me - Radio Edit,Jax Jones,79,0.876,0.669,11,-6.054,0,0.138,0.163,0,0.185,0.682,124.007,213947,4,,,,,00lNx0OcTJrS3MKHcB80H
46,4xlrALxuaCf9yZBHJeTSG6 ,Mama,Jonas Blue,84,0.746,0.793,11,-4.209,0,0.0412,0.11,0,0.0528,0.557,104.027,181615,4,,,,,0NiXXAI876aGImAd6rTj8
47,6D0b04NJIKfEMg040WioJQ ,Issues,Julia Michaels,78,0.706,0.427,8,-6.864,1,0.0879,0.413,0,0.0609,0.42,113.804,176320,4,,,,,6D0b04NJIKfEMg040WioJ
48,7nZmah2llfvLDiUjm0kiyz ,Friends (with BloodPopÂ®),Justin Bieber,83,0.744,0.739,8,-5.35,1,0.0387,0.00459,0,0.306,0.649,104.99,189467,4,,,,,7nZmah2llfvLDiUjm0kiy
49,6520aj0B4FSKGVuKNsOCOi ,Chained To The Rhythm,Katy Perry,77,0.448,0.801,0,-5.363,1,0.165,0.0733,0,0.146,0.462,189.798,237734,4,,,,,6520aj0B4FSKGVuKNsOCO
50,4cGeMgLcykDLAazHFpbZbU ,DNA.,Kendrick Lamar,78,0.637,0.514,1,-6.842,1,0.365,0.0047,0,0.094,0.402,150.02,185947,4,,,,,6HZILIRieu8S0iqY8kIKh
51,7ujx3NYtwO2LkmKGz59mXp ,HUMBLE.,Kendrick Lamar,84,0.904,0.611,1,-6.763,0,0.0888,0.000259,2.03E-05,0.0976,0.4,139.931,177000,4,,,,,7KXjTSCq5nL1LoYtL7XAw
52,152lZdxL1OR0ZMW6KquMif ,Location,Khalid,87,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,219080,4,,,,,152lZdxL1OR0ZMW6KquMi
53,5Z3GHaZ6ec9bsiI5BenrbY ,Young Dumb & Broke,Khalid,90,0.798,0.539,1,-6.351,1,0.0421,0.199,1.66E-05,0.165,0.394,136.949,202547,4,,,,,5Z3GHaZ6ec9bsiI5Benrb
54,3eR23VReFzcdmS7TYCrhCe ,It Ain't Me (with Selena Gomez),Kygo,84,0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,220781,4,,,,,3eR23VReFzcdmS7TYCrhC
55,2EEeOnHehOozLq4aS0n6SL ,iSpy (feat. Lil Yachty),KYLE,84,0.746,0.653,7,-6.745,1,0.289,0.378,0,0.229,0.672,75.016,253107,4,,,,,2EEeOnHehOozLq4aS0n6S
56,1wjzFQodRWrPcQ0AnYnvQ9 ,I Like Me Better,Lauv,89,0.752,0.505,9,-7.621,1,0.253,0.535,2.55E-06,0.104,0.419,91.97,197437,4,,,,,1wjzFQodRWrPcQ0AnYnvQ
57,6EpRaXYhGOB3fj4V2uDkMJ ,Strip That Down,Liam Payne,83,0.869,0.485,6,-5.595,1,0.0545,0.246,0,0.0765,0.527,106.028,204502,4,,,,,6EpRaXYhGOB3fj4V2uDkM
58,7GX5flRQZVHRAGd6B4TmDO ,XO TOUR Llif3,Lil Uzi Vert,91,0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,182707,4,,,,,7GX5flRQZVHRAGd6B4TmD
59,5aFQU3VPCQ3YGfKBA4tLfj ,1-800-273-8255,Logic,83,0.629,0.572,5,-7.733,0,0.0387,0.57,0,0.192,0.386,100.015,250173,4,,,,,5tz69p7tJuGPeMGwNTxYu
60,5CtI0qwDJkDQGwXD1H1cLb ,Despacito - Remix,Luis Fonsi,84,0.694,0.815,2,-4.328,1,0.12,0.229,0,0.0924,0.813,88.931,228827,4,,,,,5CtI0qwDJkDQGwXD1H1cL
61,4aWmUDTfIPGksMNLV2rQP2 ,Despacito (Featuring Daddy Yankee),Luis Fonsi,82,0.66,0.786,2,-4.757,1,0.17,0.209,0,0.112,0.846,177.833,228200,4,,,,,4aWmUDTfIPGksMNLV2rQP
62,6TXglvsCOo7dQrEgRiIdO0 ,Bad Things (with Camila Cabello),Machine Gun Kelly,74,0.675,0.69,2,-4.761,1,0.132,0.21,0,0.287,0.272,137.817,239293,4,,,,,1PSBzsahR2AKwLJgx8ehB
63,0CokSRCu5hZgPxcZBaEzVE ,Glorious (feat. Skylar Grey),Macklemore,85,0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59E-05,0.112,0.356,139.994,220454,4,,,,,0CokSRCu5hZgPxcZBaEzV
64,39IsH7B5byx8NRlEKlZVg9 ,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,81,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,193613,4,,,,,1NDxZ7cFAo481dtYWdrUn
65,6Bjtr3tPdto5nyuLYf61sN ,Cold Water (feat. Justin Bieber & MÃ˜),Major Lazer,78,0.608,0.798,6,-5.092,0,0.0432,0.0736,0,0.156,0.501,92.943,185352,4,,,,,6DNtNfH8hXkqOX1sjqmI7
66,0qYTZCo5Bwh1nsUFGZP3zn ,Felices los 4,Maluma,85,0.755,0.789,5,-4.502,1,0.146,0.231,0,0.351,0.737,93.973,229849,4,,,,,0qYTZCo5Bwh1nsUFGZP3z
67,21TdkDRXuAB3k90ujRU1et ,Cold (feat. Future),Maroon 5,77,0.697,0.716,9,-6.166,0,0.113,0.118,0,0.0424,0.506,100.048,234308,4,,,,,21TdkDRXuAB3k90ujRU1e
68,2QbFClFyhMMtiurUjuQlAe ,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,78,0.775,0.617,7,-6.288,1,0.0701,0.341,0,0.0985,0.485,99.905,214265,4,,,,,2QbFClFyhMMtiurUjuQlA
69,7vGuf3Y35N4wmASOKLUVVU ,Silence,Marshmello,91,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96E-06,0.17,0.286,141.971,180823,4,,,,,7vGuf3Y35N4wmASOKLUVV
70,23L5CiUhw2jV1OIMwthR3S ,In the Name of Love,Martin Garrix,83,0.49,0.485,4,-7.786,0,0.0406,0.0592,0,0.337,0.196,137.972,195840,4,,,,,04DwTuZ2VBdJCCC5TROn7
71,3ebXMykcMXOcLeJ9xZ17XH ,Scared to Be Lonely,Martin Garrix,85,0.584,0.54,1,-7.607,0,0.0576,0.0895,0,0.261,0.195,105.969,220883,4,,,,,3ebXMykcMXOcLeJ9xZ17X
72,6jA8HL9i4QGzsj6fjoxp8Y ,There for You,Martin Garrix,84,0.611,0.644,6,-6.237,0,0.0553,0.124,0,0.124,0.13,133.889,221904,4,,,,,6jA8HL9i4QGzsj6fjoxp8
73,6HUnnBwYZqcED1eQztxMBN ,Solo Dance,Martin Jensen,79,0.744,0.836,6,-2.396,0,0.0507,0.0435,0,0.194,0.36,114.965,174933,4,,,,,6HUnnBwYZqcED1eQztxMB
74,4Km5HrUvYTaSUfiSGPJeQR ,Bad and Boujee (feat. Lil Uzi Vert),Migos,81,0.927,0.665,11,-5.313,1,0.244,0.061,0,0.123,0.175,127.076,343150,4,,,,,4Km5HrUvYTaSUfiSGPJeQ
75,1UZOjK1BwmwWU14Erba9CZ ,Malibu,Miley Cyrus,82,0.573,0.781,8,-6.406,1,0.0555,0.0767,2.64E-05,0.0813,0.343,139.934,231907,4,,,,,1UZOjK1BwmwWU14Erba9C
76,38yBBH2jacvDxrznF7h08J ,Slow Hands,Niall Horan,75,0.734,0.418,0,-6.678,1,0.0425,0.0129,0,0.0579,0.868,85.909,188174,4,,,,,38yBBH2jacvDxrznF7h08
77,3umS4y3uQDkqekNjVpiRUs ,El Amante,Nicky Jam,80,0.683,0.691,8,-5.535,1,0.0432,0.243,0,0.14,0.732,179.91,219507,4,,,,,3umS4y3uQDkqekNjVpiRU
78,6syOdAs4IK8kPWR7gDyjRw ,Congratulations,Post Malone,84,0.627,0.812,6,-4.215,1,0.0358,0.198,0,0.212,0.504,123.071,220293,4,,,,,3a1lNhkSLSkpJE4MSHpDu
79,2U7Hu2RaNQNRi7izoJyZaX ,rockstar,Post Malone,92,0.577,0.522,5,-6.594,0,0.0984,0.13,9.03E-05,0.142,0.119,159.772,218320,4,,,,,7wGoVu4Dady5GV0Sv4UIs
80,4c2W3VKsOFoIg2SFaO6DY5 ,Your Song,Rita Ora,83,0.855,0.624,1,-4.093,1,0.0488,0.158,0,0.0513,0.962,117.959,180757,4,,,,,4c2W3VKsOFoIg2SFaO6DY
81,1W0z9ZFfzkpvAQ23Sd7Cti ,Body Like A Back Road,Sam Hunt,72,0.731,0.469,5,-7.226,1,0.0326,0.463,1.04E-06,0.103,0.631,98.963,165387,4,,,,,7mldq42yDuxiUNn08nvzH
82,1mXVgsBdtIVeCLJnSnmtdV ,Too Good At Goodbyes,Sam Smith,88,0.698,0.375,5,-8.279,1,0.0491,0.652,0,0.173,0.534,91.92,201000,4,,,,,1mXVgsBdtIVeCLJnSnmtd
83,6mICuAdrwEjh6Y6lroV2Kg ,Chantaje,Shakira,82,0.852,0.773,8,-2.921,0,0.0776,0.187,3.05E-05,0.159,0.907,102.034,195840,4,,,,,6mICuAdrwEjh6Y6lroV2K
84,79cuOz3SPQTuFrp8WgftAu ,There's Nothing Holdin' Me Back,Shawn Mendes,84,0.857,0.8,2,-4.035,1,0.0583,0.381,0,0.0913,0.966,121.996,199440,4,,,,,79cuOz3SPQTuFrp8WgftA
85,51lsOIdizBjiI8z2YKjrA2 ,Call On Me - Ryan Riback Extended Remix,Starley,58,0.676,0.843,0,-4.068,1,0.0367,0.0623,0.000752,0.181,0.718,105.003,222041,4,,,,,78rIJddV4X0HkNAInEcYd
86,3EmmCZoqpWOTY1g2GBwJoR ,Just Hold On,Steve Aoki,78,0.647,0.932,11,-3.515,1,0.0824,0.00383,1.50E-06,0.0574,0.374,114.991,198774,4,,,,,3EmmCZoqpWOTY1g2GBwJo
87,5troof8mcGO3AafoDbk1gc ,Look What You Made Me Do,Taylor Swift,81,0.773,0.68,9,-6.378,0,0.141,0.213,1.57E-05,0.122,0.497,128.062,211859,4,,,,,6uFsE1JgZ20EXyU0JQZbU
88,7BKLCZ1jbUBVqRi2FVlTVw ,Closer,The Chainsmokers,87,0.748,0.524,8,-6.769,1,0.0338,0.414,0,0.111,0.661,103.019,244960,4,,,,,7BKLCZ1jbUBVqRi2FVlTV
89,1i1fxkWeaMmKEB4T7zqbzK ,Don't Let Me Down,The Chainsmokers,84,0.542,0.859,11,-6.428,1,0.197,0.16,0.00466,0.137,0.403,99.99,208053,4,,,,,0QsvXIfqM0zZoerQfsI9l
90,72jbDTw1piOOj770jWNeaG ,Paris,The Chainsmokers,76,0.653,0.658,2,-5.599,1,0.0304,0.0215,1.66E-06,0.0939,0.219,95.01,221507,4,,,,,72jbDTw1piOOj770jWNea
91,6RUKPb4LETWmmr3iAEQktW ,Something Just Like This,The Chainsmokers,86,0.617,0.635,11,-5.651,0,0.0317,0.0498,1.44E-05,0.164,0.446,159.797,247160,4,,,,,6RUKPb4LETWmmr3iAEQkt
92,4b4KcovePX8Ke2cLIQTLM0 ,All Night,The Vamps,76,0.544,0.809,8,-5.098,1,0.0363,0.0038,0,0.323,0.448,145.017,197640,4,,,,,4b4KcovePX8Ke2cLIQTLM
93,4RepvCWqsP6zBuzvwYibAS ,I Feel It Coming,The Weeknd,81,0.768,0.813,0,-5.94,0,0.128,0.427,0,0.102,0.579,92.994,269187,4,,,,,5GXAXm5YOmYT0kL5jHvYB
94,5aAx2yezTd8zXrkmtKl66Z ,Starboy,The Weeknd,82,0.681,0.594,7,-7.028,1,0.282,0.165,3.49E-06,0.134,0.535,186.054,230453,4,,,,,5aAx2yezTd8zXrkmtKl66
95,6gBFPUFcJLzWGx4lenP6h2 ,goosebumps,Travis Scott,88,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,243837,4,,,,,6gBFPUFcJLzWGx4lenP6h
96,1KSqYYJFyfTecXFk9M0prc ,EscÃ¡pate Conmigo,Wisin,86,0.747,0.864,8,-3.181,0,0.0599,0.0245,4.46E-05,0.0853,0.754,92.028,232787,4,,,,,2cnKEkpVUSV4wnjQiTWfH
97,1j4kHkkpqZRBwE0A4CN4Yv ,Dusk Till Dawn - Radio Edit,ZAYN,90,0.258,0.437,11,-8.374,0,0.039,0.101,1.27E-06,0.106,0.0967,117.973,239000,4,,,,,1j4kHkkpqZRBwE0A4CN4Y
98,3NdDpSvN911VPGivFlV5d0 ,"I Donâ€™t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,82,0.735,0.451,0,-6.593,1,0.0585,0.0631,1.30E-05,0.325,0.0862,180.043,245200,4,,,,,3NdDpSvN911VPGivFlV5d
99,0dA2Mk56wEzDgegdC6R17g ,Stay (with Alessia Cara),Zedd,82,0.679,0.634,5,-5.024,0,0.0654,0.232,0,0.115,0.498,102.013,210091,4,,,,,0dA2Mk56wEzDgegdC6R17
100,3QwBODjSEzelZyVjxPOHdq ,Otra Vez (feat. J Balvin),Zion & Lennox,80,0.832,0.772,10,-5.429,1,0.1,0.0559,0.000486,0.44,0.704,96.016,209453,4,,,,,3QwBODjSEzelZyVjxPOHd
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
